type,K,RendertimeFeet,nTravFeet,nTravPFeet,nbNodesFeet,nbKdNodesFeet,nbBSPNodesFeet,SAFeet,BuildtimeFeet,nbPrimIntFeet,nbPrimIntPFeet,nbBSPNodeTravFeet,nbBSPNodeTravPFeet,nbKdNodeTravFeet,nbKdNodeTravPFeet,nbLeafNodeTravFeet,nbLeafNodeTravPFeet,nbNodeTravFeet,nbKdNodeTravPercFeet,nbKdNodeTravPPercFeet,nbKdNodePercFeet,nbNodesTovKdFeet,SATovKdFeet,RendertimeTovKdFeet,BuildtimeTovKdFeet,nbPrimIntTovKdFeet,nbPrimIntPTovKdFeet,nbLeafNodeTravTovKdFeet,nbLeafNodeTravPTovKdFeet,nbNodeTravTovKdFeet,nbNodeTravPTovKdFeet,RendertimeSponza,nTravSponza,nTravPSponza,nbNodesSponza,nbKdNodesSponza,nbBSPNodesSponza,SASponza,BuildtimeSponza,nbPrimIntSponza,nbPrimIntPSponza,nbBSPNodeTravSponza,nbBSPNodeTravPSponza,nbKdNodeTravSponza,nbKdNodeTravPSponza,nbLeafNodeTravSponza,nbLeafNodeTravPSponza,nbNodeTravSponza,nbKdNodeTravPercSponza,nbKdNodeTravPPercSponza,nbKdNodePercSponza,nbNodesTovKdSponza,SATovKdSponza,RendertimeTovKdSponza,BuildtimeTovKdSponza,nbPrimIntTovKdSponza,nbPrimIntPTovKdSponza,nbLeafNodeTravTovKdSponza,nbLeafNodeTravPTovKdSponza,nbNodeTravTovKdSponza,nbNodeTravPTovKdSponza,RendertimeConference,nTravConference,nTravPConference,nbNodesConference,nbKdNodesConference,nbBSPNodesConference,SAConference,BuildtimeConference,nbPrimIntConference,nbPrimIntPConference,nbBSPNodeTravConference,nbBSPNodeTravPConference,nbKdNodeTravConference,nbKdNodeTravPConference,nbLeafNodeTravConference,nbLeafNodeTravPConference,nbNodeTravConference,nbKdNodeTravPercConference,nbKdNodeTravPPercConference,nbKdNodePercConference,nbNodesTovKdConference,SATovKdConference,RendertimeTovKdConference,BuildtimeTovKdConference,nbPrimIntTovKdConference,nbPrimIntPTovKdConference,nbLeafNodeTravTovKdConference,nbLeafNodeTravPTovKdConference,nbNodeTravTovKdConference,nbNodeTravPTovKdConference
bspcluster,2,10.896661538,764000522,283133079,405401,0,202700,1399.380604,37.730329851,210813234,97374095,629667811,235515948,0,0,134332711,47617131,629667811,0,0,0,42.0811539383773,152.122928039392,102.796584737314,4235.2249803513,142.845347723886,145.311003506598,106.238202216054,105.786172469887,107.544791475959,107.398983833635,605.49761398,14910665265,9479926126,3304405,0,1652202,13252.644474,307.595138511,13570811581,10627566459,12888489364,8213201569,0,0,2022175901,1266724557,12888489364,0,0,0,67.0689838893822,384.178881846383,370.34602068356,4921.84956248418,1155.87989270359,1775.18345974122,145.466216366702,148.040818261452,177.82226958361,175.707602756151,380.414477617,12350161558,6176278636,1192265,0,596132,4473.12587,130.651583692,6422031812,2768101432,10320549312,5233586194,0,0,2029612246,942692442,10320549312,0,0,0,68.5037723284439,317.980134731252,178.900799325683,4236.2370318404,359.753267619886,459.410931893972,138.288129648258,148.225357716042,153.990083176745,159.386546522475
bspcluster,3,8.455258127,688338531,270704056,695357,0,347678,635.082618,65.664372872,74200314,35085692,570315906,226047356,0,0,118022625,44656700,570315906,0,0,0,72.1789659106125,69.0381352442145,79.7649496129574,7370.81794420692,50.2775345429763,52.3582490111298,93.3392277091731,99.2092818052394,97.4077189824658,103.081156664091,348.024824933,11704828553,7418834549,4222745,0,2111372,5520.905228,464.171894557,6082717810,4286748758,9970260396,6341761798,0,0,1734568157,1077072751,9970260396,0,0,0,85.7083851325637,160.044676474499,212.865593583142,7427.24429001703,518.089221680206,716.040263838903,124.777012080985,125.876403440683,137.559513910796,135.671303500322,301.704552229,9933140827,5241522232,1431047,0,715523,3232.240923,189.902916845,4200178655,1538908916,8250725493,4442844037,0,0,1682415334,798678195,8250725493,0,0,0,82.2234300925572,229.769613923117,141.885203455131,6157.3977602122,235.288151780888,255.406673695728,114.631782641703,125.581107771179,123.106810163513,135.304844813147
bspcluster,4,8.025250634,664479906,252131437,778455,0,389227,532.171736,84.938285822,60388658,26551070,548961972,211310768,0,0,115517934,40820669,548961972,0,0,0,80.8046469769426,57.8509681131226,75.7083583774028,9534.31235089028,40.9188677907614,39.6220640189152,91.3583708726969,90.687159022037,93.7605508422139,96.361040299084,306.29585836,10600693434,7137532039,4543323,0,2271661,4719.171718,587.704648957,4576027538,4182614079,9023587436,6103549973,0,0,1577105998,1033982066,9023587436,0,0,0,92.2151059241405,136.803346488258,187.342525678769,9403.89982540471,389.758430294436,698.646050360264,113.449894356293,120.840438651342,124.4982831066,130.575163052862,282.495052145,9484671109,4686752250,1369237,0,684618,4352.089126,237.952049163,4222045723,1138235451,7874810662,3973359478,0,0,1609860447,713392772,7874810662,0,0,0,78.6720231757886,309.376021794776,132.851386074673,7715.33917907136,236.513114440146,188.908471060198,109.688237568083,112.171153719443,117.497888163038,121.006900778056
bspcluster,5,7.872604899,628141576,252880046,769525,0,384762,501.506525,99.873846491,53039262,23949600,521524879,211807035,0,0,106616697,41073011,521524879,0,0,0,79.877701299281,54.5174349249881,74.2683338177709,11210.8272366785,35.9389763140217,35.7398999146705,84.3187495523245,91.2477617667382,89.0744030134003,96.5873458718606,267.61688729,10197981318,7080831230,4308141,0,2154070,4003.674389,686.845663417,3828833298,2662741916,8599162562,6028566177,0,0,1598818756,1052265053,8599162562,0,0,0,87.4416541925663,116.061903951368,163.684954304124,10990.2615637803,326.116930830312,444.773074351362,115.011812264416,122.977152857115,118.642500304526,128.971011135972,268.506512885,9053349710,4699677296,1380073,0,690036,3332.111481,292.826372773,3484894776,1092248102,7489375508,3967446949,0,0,1563974202,732230347,7489375508,0,0,0,79.2946254302799,236.86909075687,126.272874997257,9494.58008228063,195.218946227399,181.276131213404,106.561766977389,115.133102037341,111.746916036517,120.826837329478
bspcluster,6,7.681922528,607165445,237041511,824033,0,412016,478.525259,115.866051082,49523028,21970077,508912409,200539166,0,0,98253036,36502345,508912409,0,0,0,85.5357029787861,52.0192028757663,72.4694804313408,13005.9502754159,33.5564045044713,32.785865028961,77.7042749245883,81.0935745735146,86.9202426252543,91.4490200351299,250.009758413,9789986892,6618771829,4504025,0,2252012,3823.095438,804.484881411,3438998625,1930142285,8278071511,5665839041,0,0,1511915381,952932788,8278071511,0,0,0,91.4174806545731,110.827128385158,152.915745698332,12872.6142447023,292.913164253061,322.402750667111,108.760375312519,111.368291475924,114.212412509188,121.211075502379,255.979884124,8738109147,4242126089,1305391,0,652695,2891.44398,338.993887845,3561440893,841598925,7173261403,3572061073,0,0,1564847744,670065016,7173261403,0,0,0,75.0036341447579,205.543455080165,120.381869186339,10991.5120863894,199.506952970515,139.676870921548,106.621285976443,105.358462913831,107.030264252712,108.785535823514
bspcluster,7,7.616498582,609176138,234773556,811643,0,405821,473.305687,129.292508189,47186988,20674590,507718940,198045953,0,0,101457198,36727603,507718940,0,0,0,84.249604776521,51.4517971439141,71.852286056221,14513.0684681734,31.9735226342709,30.8526145479193,80.2383145338164,81.5940075298434,86.7164028028975,90.3120756160589,237.686679442,10035400148,6301444426,4281785,0,2140892,3459.332938,901.201762732,3009623459,2072272431,8470920834,5382276418,0,0,1564479314,919168008,8470920834,0,0,0,86.9067106431562,100.282072960045,145.378468665182,14420.1872730633,256.341576928061,346.143565206656,112.541587642802,107.422235775025,116.873151354138,115.144731178549,250.416650916,8655637010,4193449672,1278097,0,639048,2429.763203,402.318969409,2998297146,730383826,7144113899,3546657193,0,0,1511523111,646792479,7144113899,0,0,0,73.4354073143699,172.724053180953,117.765599495499,13044.7597240004,167.960425476771,121.2189373785,102.98799898959,101.699178116271,106.595362346848,108.011871924348
bspcluster,8,7.687299303,589434793,234994031,848783,0,424391,473.958639,141.640071868,50393303,21220373,491492436,197844549,0,0,97942357,37149482,491492436,0,0,0,88.1047853440858,51.5227778119505,72.5202036831344,15899.0810036136,34.1460958280739,31.6670845096359,77.4585717136534,82.5312535108207,83.9449795880243,90.2202322180907,239.653641023,9469763890,6064491219,4430605,0,2215302,3644.596535,1016.638216876,3193126340,2006433253,8006914699,5158912262,0,0,1462849191,905578957,8006914699,0,0,0,89.9272865660282,105.65265101199,146.581539292616,16267.2933881785,271.971245731218,335.146069191039,105.230774842402,105.834097123793,110.471266564064,110.366231580957,248.383676021,8694938275,4386212096,1222199,0,611099,2543.081,462.313604109,2972987893,1047194973,7196869604,3712655162,0,0,1498068671,673556934,7196869604,0,0,0,70.2236852009007,180.779450995526,116.809534847268,14990.021205308,166.542636413385,173.798840193878,102.071277410514,105.907518758139,107.382515739115,113.067266452671
bspcluster,9,7.631271328,580303118,231574807,828903,0,414451,464.335176,152.22873622,50370992,22171701,485955503,196273123,0,0,94347615,35301684,485955503,0,0,0,86.0412153472309,50.4766368512611,71.9916487253005,17087.657301495,34.1309780743513,33.0867477819254,74.6156384871324,78.426187249741,82.9992931570224,89.503637197656,232.809650958,9907094781,6192773859,4404131,0,2202065,3732.666525,1125.898663262,3431191153,1944745716,8419803769,5305010234,0,0,1487291012,887763625,8419803769,0,0,0,89.3899479893442,108.205698469711,142.395487312146,18015.5768065867,292.248170870478,324.842045614518,106.989009237453,103.75203728505,116.167890073623,113.49175141777,244.139783729,8362405533,4234232428,1229385,0,614692,2599.510969,541.948320372,2866542834,802306278,6918609802,3581950682,0,0,1443795731,652281746,6918609802,0,0,0,70.6365700108651,184.790876040782,114.813722994768,17572.0912003315,160.579732628685,133.15562449388,98.3733772929404,102.562289485816,103.230677618938,109.086719479718
bspcluster,10,7.656463926,587293009,228617607,831147,0,415573,465.685423,162.212150724,52954221,23300395,488724814,192939317,0,0,98568195,35678290,488724814,0,0,0,86.2741454816848,50.6234185964341,72.2293098682137,18208.2943768536,35.8813532180457,34.7710936830798,77.9535211828001,79.2628547774254,83.4722806098098,87.9833691235022,236.403312537,10008008399,6581994765,4363153,0,2181576,3399.861848,1201.766069077,3931755716,1748690833,8505616411,5666540233,0,0,1502391988,915454532,8505616411,0,0,0,88.5582240263859,98.5580746362982,144.593511275805,19229.5360385985,334.883241729595,292.093872564199,108.07530536089,106.988245589396,117.351845642693,121.226076323235,243.028777553,8523496523,4161276343,1251097,0,625548,2387.792529,609.108833202,3191993264,946173684,6985991437,3507807889,0,0,1537505086,653468454,6985991437,0,0,0,71.8840727932123,169.740492923285,114.291240532514,19749.6985701629,178.811011929112,157.032733293276,104.758287247556,102.748882917531,104.236060497751,106.828733600103
