D,Pbsppaper,Pbsppaperkd,Pkdtree,Pbsparbitraryfastkd,Pbspclusterfastkd,Pbsprandomfastkd,Prbsp,Prbspkd
0,0,1,1,1,1,1,1,1
1,0.5,1,1,1,1,1,1,1
2,0.5,1,1,1,1,1,1,1
3,0.375,0.875,1,1,0.875,1,0.875,0.875
4,0.5,0.9375,1,0.875,0.933333333333333,0.875,0.6,0.933333333333333
5,0.6,0.931034482758621,1,0.928571428571429,0.925925925925926,0.928571428571429,0.740740740740741,0.962962962962963
6,0.547169811320755,0.75,1,0.784313725490196,0.791666666666667,0.846153846153846,0.72,0.72
7,0.642857142857143,0.950980392156863,1,0.83695652173913,0.863636363636364,0.880434782608696,0.659090909090909,0.817204301075269
8,0.64327485380117,0.880681818181818,1,0.767295597484277,0.797385620915033,0.860759493670886,0.544303797468354,0.745341614906832
9,0.675324675324675,0.928125,1,0.782918149466192,0.771739130434783,0.827338129496403,0.530465949820789,0.805555555555556
10,0.777777777777778,0.917253521126761,1,0.7534516765286,0.750507099391481,0.815573770491803,0.550200803212851,0.80078125
11,0.789368104312939,0.933597621407334,1,0.722543352601156,0.709411764705882,0.807372175980975,0.471526195899772,0.772522522522523
12,0.85885031303358,0.936194240542067,1,0.696682464454976,0.711325966850829,0.770559778852799,0.416666666666667,0.740167633784655
13,0.870498843739676,0.959828778399737,1,0.693241602590045,0.680651731160896,0.771158586688579,0.404667721518987,0.748097412480974
14,0.891472868217054,0.950294695481336,1,0.656165395028304,0.638303150582982,0.736591478696742,0.37529634898056,0.697610294117647
15,0.878108581436077,0.932454890788224,1,0.622181596587447,0.616543665436654,0.710171853228054,0.327738388076979,0.645564289724874
16,0.852394567548249,0.905320699708455,1,0.56703002486135,0.579814921920185,0.653163098780839,0.319375443577005,0.609540329575022
17,0.814966775186193,0.862633354609282,1,0.535603715170279,0.535192069392813,0.590389294403893,0.287457215413492,0.54579945799458
18,0.761310896614561,0.797351772840959,1,0.48920482320352,0.484653847717387,0.524805504515423,0.265639835425678,0.476434710285556
19,0.698596531264263,0.735154536390828,1,0.432893907419081,0.433319587628866,0.46512948952981,0.244424766387808,0.424571014623987
20,0.627960367327211,0.667813077683677,1,0.381770474220486,0.380324212064689,0.403120776508171,0.235577856911622,0.36992348440259
21,0.556272365304168,0.602635730248455,1,0.334894942070862,0.334136138927621,0.348932235370562,0.224576877234803,0.321340364461651
22,0.485598758372815,0.541715439671888,1,0.289632998913943,0.288448873389979,0.30077684208563,0.214997373161213,0.288408534095549
23,0.419266226575197,0.485843474990009,1,0.253747023392632,0.252804036066232,0.261501870342553,0.209528035050746,0.256939357791125
24,0.358164208268964,0.427770670492276,1,0.220829898739346,0.218880403705611,0.224866220942447,0.200073187007154,0.232208502790703
25,0.302467023986011,0.367316420298632,1,0.191379741906775,0.186683782049117,0.197746646401903,0.191664397002647,0.212765106728127
